label,counter_start,duration
idle,450,10.0
left,2900,10.0
rest,5350,3.0
left,6100,10.0
rest,8550,3.0
right,9300,10.0
rest,11750,3.0
left,12500,10.0
rest,14950,3.0
left,15700,10.0
rest,18150,3.0
right,18900,10.0
rest,21350,3.0
left,22100,10.0
rest,24550,3.0
left,25300,10.0
rest,27750,3.0
right,28500,10.0
rest,31000,3.0
left,31700,10.0
rest,34200,3.0
left,34900,10.0
rest,37400,3.0
right,38100,10.0
rest,40600,3.0
left,41350,10.0
rest,43800,3.0
right,44550,10.0
rest,47000,3.0
right,47750,10.0
rest,50200,3.0
right,50950,10.0
rest,53400,3.0
right,54150,10.0
rest,56600,3.0
left,57350,10.0
rest,59800,3.0
right,60550,10.0
rest,63000,3.0
right,63750,10.0
rest,64500,3.0
